"File"	"Plate_Type"	"Position"	"Setup_Time"	"Well"	"mu"	"lambda"	"A"	"AUC"	"mu_CI95_low"	"lambda_CI95_low"	"A_CI95_low"	"AUC_CI95_low"	"mu_CI95_high"	"lambda_CI95_high"	"A_CI95_high"	"AUC_CI95_high"	"Aggr_software"	"Aggr_version"	"Aggr_method"	"Discretized"	"Disc_software"	"Disc_version"	"Disc_method"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D02"	33.1405817624208	0.899720061573625	268.566948264814	23667.9686159921	30.940642417264	-0.320146340839853	268.573356614575	23489.514300578	36.3711277681396	3.00542589994502	270.460310912326	23770.4587953769	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D03"	12.4179523154615	0.597599500573903	51.4657953592301	4582.94267736222	9.65229162107212	90.7446936120601	51.5629288649787	4548.16561686239	20.8232794216527	95.0397902080117	53.4852909181787	4599.31488874154	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D04"	7.22848965997375	0.407168615321401	39.9266645004887	3507.66130588902	6.94429761339502	-42.6709640996816	40.4141448790773	3474.11339153782	13.6665358135109	139.777822452805	42.5728602190284	3526.96995648641	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D05"	21.2770168466165	0.988975090158285	282.917360926093	23841.2755656665	19.9267158974575	1.13252212020227	282.90992152745	23668.5700666938	26.6331608427879	2.96262199140282	284.488129591953	23934.467687031	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D06"	23.0547646223441	1.02018763376418	298.588939130519	24784.9803885913	21.6800167248241	-0.46568910637633	297.912245496803	24596.5391311843	27.4321980917549	2.72926967810443	299.705970013462	24870.3404008517	"opm"	"1.3.51"	"grofit"	TRUE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D07"	16.9995129936781	2.28655712957946	197.070398455886	13948.4875630053	17.1962710941943	-0.664893842648548	193.858825070661	13815.5141751957	23.6900753504067	5.14563852738923	201.515971260198	14021.3603818899	"opm"	"1.3.51"	"grofit"	NA	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D08"	7.98441964842201	0.421107855627322	36.7091448164277	3197.08922067827	7.24754530477723	-37.9471181111616	36.5506677366789	3160.90372705503	15.555331331024	144.537732446877	40.0845112523178	3216.93598355571	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D09"	6.25580375467462	-0.308506825645684	33.7009063966842	2866.88256160554	5.11328928248387	-13.9746518683622	34.7033776186715	2833.55532431137	19.7813971880215	148.318019882152	39.4125030991454	2884.51573578245	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D10"	10.6375547326017	0.757431420124697	36.0512779509912	3166.09480617213	5.13779856862795	-47.7704402887774	36.0057819541414	3131.28044252819	24.2548633473624	130.409261821041	40.3647299902047	3182.27485848293	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
".//01_Abaylyi_PM1_A_101117.csv"	"PM01"	"15-A"	"Nov 17 2010 5:28 PM"	"D11"	7.85618349548738	-0.0185916061059541	42.2338785703297	3626.66025719292	7.733885555499	-30.9099943356431	42.386203499863	3586.44774536853	20.688499921506	145.249581415694	48.7685728183201	3648.13278801297	"opm"	"1.3.51"	"grofit"	FALSE	"opm"	"1.3.51"	"kmeans"
